date,IO_LONG_30,REMOTE_IS_UNREACHABLE,Latency_172.18.158.42,IO_LONG_120,IO_SUBMIT_EXCEEDED_LIMIT,SCHEDULER_STUCK,ASYNC_IO_CK_EXCEEDED_LIMIT,IO_LONG_60,RPC_SEND_LINGERED_5SEC,MDM_IS_UNREACHABLE,WRITE_KA_CAUSED_DISCONNECT,SND_ERR_NOT_CONNECTED,IO_TIMEDOUT,RCV_MSG_RPC_NOT_FOUND,RPC_LINGERED_3SEC,CONNECTION_DOWN,IO_LONG_15,RCV_SOCK_IO_ERR,KA_CAUSED_DISCONNECT,NET_CHAN_REJECTED_MSG,RCV_ERR,IO_LONG_1,CON_SND_MSG_ABORTED,IO_LONG_5,RPC_TIMED_OUT,SND_ERR,DROPPED_REQUESTS,RPC_LINGERED_1SEC,NET_CHAN_ESTABLISH_ERROR,Latency_172.16.158.32,SOCKET_DOWN,RCV_TIMEOUT,NET_CHAN_UPDATED,MESSAGE_PEER_ID_MISMATCH,SND_TIMEOUT,NET_CON_CK_EXCEEDED_LIMIT,SND_SOCK_IO_ERR,IO_RETRY_10,SOCKET_CK_EXCEEDED_LIMIT,MALLOC_FAILED,
10/04 17:09:09,0,0,181213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65437,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:11,0,0,207430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39420,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:13,0,0,207430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39420,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:15,0,0,281188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44099,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:17,0,0,281188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44099,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:19,0,0,281188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44099,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:21,0,0,280382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,99283,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:23,0,0,280382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,99283,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:25,0,0,333085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52567,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:27,0,0,333085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,52567,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:29,0,0,333085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52567,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:31,0,0,254711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46218,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:33,0,0,254711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46218,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:35,0,0,244896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38932,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:37,0,0,244896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38932,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:39,0,0,244896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38932,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:41,0,0,227649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44663,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:43,0,0,227649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44663,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:45,0,0,264268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32998,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:47,0,0,264268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,32998,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:49,0,0,264268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32998,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:51,0,0,252549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50915,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:53,0,0,252549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50915,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:55,0,0,208246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40775,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:57,0,0,208246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40775,0,0,0,0,0,0,0,0,0,0,
10/04 17:09:59,0,0,208246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40775,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:01,0,0,240293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48633,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:03,0,0,240293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48633,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:05,0,0,242211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33782,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:07,0,0,242211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,33782,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:09,0,0,242211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33782,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:11,0,0,300457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46553,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:13,0,0,300457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46553,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:15,0,0,256309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47521,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:17,0,0,256309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,47521,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:19,0,0,256309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47521,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:21,0,0,224083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46565,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:23,0,0,224083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46565,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:25,0,0,330709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,101491,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:27,0,0,330709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,101491,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:29,0,0,330709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101491,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:31,0,0,262743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39874,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:33,0,0,262743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39874,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:35,0,0,251507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44767,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:37,0,0,251507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,44767,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:39,0,0,251507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44767,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:41,0,0,327448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45956,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:43,0,0,327448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,45956,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:45,0,0,290370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39135,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:47,0,0,290370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39135,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:49,0,0,290370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,39135,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:51,0,0,272874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38562,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:53,0,0,272874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38562,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:55,0,0,266785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41110,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:57,0,0,266785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41110,0,0,0,0,0,0,0,0,0,0,
10/04 17:10:59,0,0,266785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41110,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:01,0,0,217057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41083,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:03,0,0,217057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41083,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:05,0,0,256948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64702,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:07,0,0,256948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64702,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:09,0,0,256948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64702,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:11,0,0,276198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37371,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:13,0,0,276198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37371,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:15,0,0,165452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58725,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:17,0,0,165452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58725,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:19,0,0,165452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58725,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:21,0,0,203782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50688,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:23,0,0,203782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50688,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:25,0,0,280266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36819,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:27,0,0,280266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,36819,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:29,0,0,280266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,36819,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:31,0,0,377252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,50291,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:33,0,0,377252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50291,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:35,0,0,256281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,37672,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:37,0,0,256281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37672,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:39,0,0,256281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37672,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:41,0,0,186711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50086,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:43,0,0,186711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50086,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:45,0,0,244631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63635,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:47,0,0,244631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63635,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:49,0,0,244631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,63635,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:51,0,0,260919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32819,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:53,0,0,260919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32819,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:55,0,0,222843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,48784,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:57,0,0,222843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,48784,0,0,0,0,0,0,0,0,0,0,
10/04 17:11:59,0,0,222843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48784,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:01,0,0,284504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49038,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:03,0,0,284504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49038,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:05,0,0,230042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43187,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:07,0,0,230042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43187,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:09,0,0,230042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43187,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:11,0,0,203919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61853,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:13,0,0,203919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,61853,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:15,0,0,255691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73464,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:17,0,0,255691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73464,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:19,0,0,255691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73464,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:22,0,0,293703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42255,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:24,0,0,293703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42255,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:26,0,0,218254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36791,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:28,0,0,218254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36791,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:30,0,0,218254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36791,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:32,0,0,288841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,41790,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:34,0,0,288841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,41790,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:36,0,0,304304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,70127,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:38,0,0,304304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70127,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:40,0,0,304304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70127,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:42,0,0,238711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,49222,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:44,0,0,238711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49222,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:46,0,0,240517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36602,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:48,0,0,240517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36602,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:50,0,0,240517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36602,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:52,0,0,237738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45184,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:54,0,0,237738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45184,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:56,0,0,293078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40722,0,0,0,0,0,0,0,0,0,0,
10/04 17:12:58,0,0,293078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40722,0,0,0,0,0,0,0,0,0,0,
10/04 17:13:00,0,0,293078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40722,0,0,0,0,0,0,0,0,0,0,
10/04 17:13:02,0,0,241438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84564,0,0,0,0,0,0,0,0,0,0,
10/04 17:13:04,0,0,241438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84564,0,0,0,0,0,0,0,0,0,0,
10/04 17:13:06,0,0,273278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49527,0,0,0,0,0,0,0,0,0,0,
10/04 17:13:08,0,0,273278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49527,0,0,0,0,0,0,0,0,0,0,
